epoch,step,test/r2,test/rmse,train_loss_epoch,train_loss_step,val/r2,val/rmse,val_loss
0,49,,,,0.47727304697036743,,,
0,99,,,,0.3961372971534729,,,
0,123,,,,,0.20912915468215942,0.9041101336479187,0.8174151182174683
0,123,,,0.622898280620575,,,,
1,124,0.15731441974639893,0.32641324400901794,,,,,
1,124,-0.37295639514923096,1.191233515739441,,,,,
